time,latitude,longitude,number,expver,Star_Event,PM25,PM10,Ratio
2025-10-15 05:00:00,54.59999999999994,-6.700000000000005,0,0001,1.0,1.8097910249131e-08,1.8650709828391174e-08,0.9703603999876363
2025-10-15 06:00:00,55.99999999999996,-3.800000000000014,0,0001,1.0,5.1734208472705985e-08,5.2634549163596314e-08,0.9828944922071636
2025-10-15 06:00:00,55.99999999999996,-3.700000000000014,0,0001,1.0,5.1913279230927164e-08,5.277283676718631e-08,0.9837121218241274
2025-10-15 06:00:00,55.899999999999956,-3.800000000000014,0,0001,1.0,4.642051487646328e-08,4.737323378023166e-08,0.9798890886742475
2025-10-15 06:00:00,55.899999999999956,-3.700000000000014,0,0001,1.0,4.575802275974192e-08,4.6682909538017146e-08,0.9801878934404886
2025-10-15 06:00:00,55.099999999999945,-2.500000000000013,0,0001,1.0,1.6032085103923533e-08,1.7189242945692582e-08,0.9326812794824673
2025-10-15 06:00:00,55.099999999999945,-2.400000000000013,0,0001,1.0,1.5834193511921567e-08,1.703216845339078e-08,0.9296639799713395
2025-10-15 06:00:00,54.99999999999994,-2.500000000000013,0,0001,1.0,1.6619973175480607e-08,1.7769268889634047e-08,0.9353211591713885
2025-10-15 06:00:00,54.59999999999994,-7.0000000000000036,0,0001,1.0,1.5510835615907027e-08,1.5984366275035615e-08,0.9703753873640804
2025-10-15 06:00:00,54.59999999999994,-6.900000000000004,0,0001,1.0,1.6020443305287733e-08,1.6518256984455528e-08,0.9698628202941593
2025-10-15 07:00:00,55.99999999999996,-3.800000000000014,0,0001,1.0,4.814653498108334e-08,4.900991642149876e-08,0.9823835357524362
2025-10-15 07:00:00,55.899999999999956,-3.800000000000014,0,0001,1.0,4.336062644124031e-08,4.4295051996691076e-08,0.9789045161179498
2025-10-15 07:00:00,55.899999999999956,-3.700000000000014,0,0001,1.0,4.2906419075077e-08,4.38183002475007e-08,0.9791894900698319
